                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88999,                0.67375,                 1.2674,                0.80787,                0.70895,                0.75548,                  0.489,                 1.4138,                 1.0631,                 2.0012,              0.0013466,              0.0013466,              0.0013466
                     36,                0.89959,                0.68726,                 1.2707,                0.80872,                0.70895,                0.74873,                0.49266,                 1.3686,                0.99838,                 1.9473,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.8803,                0.65835,                 1.2537,                0.85477,                0.73082,                0.78145,                0.51085,                 1.3596,                0.93843,                 1.9415,               0.001307,               0.001307,               0.001307
                     38,                0.88285,                0.65963,                 1.2554,                0.81036,                 0.7263,                0.75997,                0.50511,                 1.3563,                0.99958,                 1.9525,              0.0012872,              0.0012872,              0.0012872
                     39,                0.87619,                0.65735,                 1.2567,                 0.8239,                0.67557,                0.72634,                0.48288,                 1.4189,                 1.0476,                 2.0352,              0.0012674,              0.0012674,              0.0012674
                     40,                0.87462,                0.65018,                 1.2579,                0.80004,                0.70093,                0.75736,                0.50749,                 1.3632,                0.97313,                 1.9337,              0.0012476,              0.0012476,              0.0012476
                     41,                0.86356,                0.64458,                 1.2495,                0.85201,                0.71696,                0.75637,                0.51445,                 1.3622,                0.98515,                 1.9585,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.8605,                 0.6368,                 1.2477,                0.82879,                0.70446,                0.76335,                 0.5156,                 1.3954,                 0.9121,                 1.9631,               0.001208,               0.001208,               0.001208
                     43,                0.86524,                0.64284,                 1.2493,                0.86315,                0.73298,                0.77617,                0.51533,                 1.3331,                0.92084,                 1.9582,              0.0011882,              0.0011882,              0.0011882
                     44,                0.85893,                0.63322,                 1.2437,                0.82651,                0.71239,                0.77219,                0.51408,                 1.3325,                0.96342,                 1.9225,              0.0011684,              0.0011684,              0.0011684
                     45,                0.84504,                0.60426,                 1.2326,                0.84146,                0.70156,                0.76354,                0.51945,                 1.3325,                0.96207,                 1.8885,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.8463,                0.61022,                 1.2308,                0.83622,                0.71829,                0.76825,                 0.5224,                 1.3077,                0.91837,                 1.9353,              0.0011288,              0.0011288,              0.0011288
                     47,                0.83991,                0.61181,                 1.2276,                0.83589,                0.72363,                0.75322,                0.51357,                 1.3176,                0.99148,                 1.9038,               0.001109,               0.001109,               0.001109
                     48,                0.84675,                0.61285,                 1.2292,                0.86708,                0.73031,                0.79483,                0.53189,                 1.2901,                0.86964,                 1.8769,              0.0010892,              0.0010892,              0.0010892
                     49,                0.84279,                0.60552,                 1.2278,                0.81925,                 0.7201,                0.75361,                0.49224,                  1.402,                 0.9885,                 1.9846,              0.0010694,              0.0010694,              0.0010694
                     50,                0.83672,                0.60831,                 1.2223,                0.81334,                0.70628,                0.73039,                0.50215,                 1.3395,                0.97549,                 1.9368,              0.0010496,              0.0010496,              0.0010496
                     51,                0.81648,                0.58536,                 1.2107,                0.84041,                0.69159,                0.74573,                0.51342,                  1.347,                0.95016,                 1.9537,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.8241,                0.60075,                  1.217,                0.85649,                0.73832,                0.76437,                0.51955,                 1.3382,                0.89469,                  1.969,                0.00101,                0.00101,                0.00101
                     53,                0.81867,                0.58913,                 1.2153,                0.84241,                0.72799,                0.78317,                0.52471,                 1.3231,                0.91775,                  1.932,              0.0009902,              0.0009902,              0.0009902
                     54,                0.81334,                 0.5886,                 1.2076,                0.84279,                0.73031,                0.77423,                0.52917,                 1.3141,                   0.95,                 1.9158,              0.0009704,              0.0009704,              0.0009704
                     55,                0.80859,                0.58106,                 1.2034,                0.83264,                0.71696,                0.75688,                0.52287,                 1.3355,                0.92357,                 1.9178,              0.0009506,              0.0009506,              0.0009506
                     56,                0.80195,                0.58039,                 1.2017,                0.87401,                0.69466,                0.75826,                0.50836,                 1.3609,                0.94494,                  2.013,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.8035,                0.57201,                 1.2036,                0.82485,                0.70628,                0.72418,                0.50368,                 1.3502,                0.94885,                 1.9968,               0.000911,               0.000911,               0.000911
                     58,                 0.8002,                0.57378,                 1.2015,                0.86539,                0.73164,                0.78006,                0.52935,                 1.3147,                0.88297,                 1.9409,              0.0008912,              0.0008912,              0.0008912
                     59,                0.78547,                0.55861,                 1.1958,                0.86614,                0.74232,                 0.7829,                0.52648,                 1.3134,                0.88603,                  1.935,              0.0008714,              0.0008714,              0.0008714
                     60,                0.78913,                0.56845,                 1.1945,                0.83469,                0.73698,                0.77212,                0.52886,                 1.2939,                0.90392,                 1.9295,              0.0008516,              0.0008516,              0.0008516
                     61,                0.78402,                0.56012,                 1.1925,                0.83847,                0.72768,                 0.7661,                0.52754,                 1.3296,                0.90694,                 1.9512,              0.0008318,              0.0008318,              0.0008318
                     62,                0.77901,                0.55649,                 1.1891,                0.83724,                0.69292,                0.74152,                0.51634,                 1.3375,                 0.9553,                 1.9768,               0.000812,               0.000812,               0.000812
                     63,                0.78267,                 0.5585,                 1.1903,                0.86291,                 0.7143,                0.76431,                 0.5258,                 1.3476,                0.89185,                 2.0281,              0.0007922,              0.0007922,              0.0007922
                     64,                0.76945,                0.54884,                  1.181,                0.87573,                0.73383,                0.78374,                0.52783,                 1.3261,                0.86785,                 1.9607,              0.0007724,              0.0007724,              0.0007724
                     65,                0.76247,                0.53947,                 1.1784,                0.85903,                 0.7223,                0.78144,                0.53657,                 1.3016,                0.87178,                  1.922,              0.0007526,              0.0007526,              0.0007526
                     66,                0.76719,                0.53316,                 1.1761,                0.87767,                0.71963,                0.77098,                0.53545,                 1.3227,                0.88575,                 1.9504,              0.0007328,              0.0007328,              0.0007328
                     67,                0.76511,                0.52895,                 1.1767,                0.87671,                0.74056,                0.78968,                0.54389,                 1.2931,                0.86057,                 1.9265,               0.000713,               0.000713,               0.000713
                     68,                0.76239,                0.53691,                  1.173,                0.86474,                0.74258,                0.79737,                0.54863,                 1.2748,                0.83017,                 1.9062,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.7621,                0.53286,                 1.1771,                0.88846,                0.72363,                0.77567,                0.53435,                 1.3011,                0.88039,                  1.966,              0.0006734,              0.0006734,              0.0006734
                     70,                0.75057,                0.53064,                 1.1762,                0.86334,                0.72497,                0.77786,                0.53428,                 1.3108,                 0.8941,                 1.9874,              0.0006536,              0.0006536,              0.0006536
                     71,                0.74796,                 0.5229,                 1.1646,                0.84215,                0.74794,                0.78211,                0.54137,                 1.3004,                 0.8937,                 1.9612,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7442,                0.52047,                 1.1626,                0.83409,                0.74499,                0.77758,                0.53229,                 1.3446,                 0.8959,                 2.0359,               0.000614,               0.000614,               0.000614
                     73,                0.75131,                0.52071,                 1.1664,                0.89785,                0.72363,                 0.7823,                0.53857,                 1.2995,                0.85925,                 1.9552,              0.0005942,              0.0005942,              0.0005942
                     74,                0.73366,                0.51771,                  1.158,                0.88305,                0.71162,                0.77223,                0.53592,                 1.3155,                0.88037,                 1.9815,              0.0005744,              0.0005744,              0.0005744
                     75,                0.74263,                0.50985,                 1.1575,                0.86742,                 0.7263,                0.77514,                0.53494,                 1.3031,                0.86282,                 1.9137,              0.0005546,              0.0005546,              0.0005546
                     76,                0.72342,                0.49939,                 1.1522,                0.84619,                0.72363,                0.76888,                0.53456,                 1.2991,                0.88057,                 1.9753,              0.0005348,              0.0005348,              0.0005348
                     77,                0.73482,                0.51028,                 1.1579,                0.88432,                0.74099,                0.78637,                0.53548,                  1.299,                0.85649,                 1.9466,               0.000515,               0.000515,               0.000515
                     78,                0.72668,                0.49738,                 1.1505,                0.87932,                0.74099,                0.79351,                0.54687,                 1.2729,                0.87248,                 1.9064,              0.0004952,              0.0004952,              0.0004952
                     79,                0.71928,                  0.502,                 1.1438,                0.87967,                0.72228,                0.77861,                0.54266,                 1.2904,                0.85338,                 1.9874,              0.0004754,              0.0004754,              0.0004754
                     80,                0.73206,                0.50572,                 1.1561,                0.86954,                0.71562,                0.76739,                0.53949,                 1.3031,                0.86013,                 2.0003,              0.0004556,              0.0004556,              0.0004556
                     81,                0.71138,                0.48763,                 1.1429,                0.85012,                0.73832,                0.78748,                0.54087,                 1.2845,                0.86152,                 1.9598,              0.0004358,              0.0004358,              0.0004358
                     82,                0.71233,                0.48734,                 1.1404,                0.88216,                 0.7296,                0.77641,                0.54375,                 1.2842,                0.83193,                 1.9775,               0.000416,               0.000416,               0.000416
                     83,                0.70701,                0.48461,                 1.1369,                0.89198,                0.70562,                0.77996,                0.55073,                 1.2685,                0.86264,                 1.9438,              0.0003962,              0.0003962,              0.0003962
                     84,                0.70856,                0.48676,                 1.1419,                0.85161,                0.74323,                0.78538,                0.54635,                 1.3037,                0.83736,                 1.9691,              0.0003764,              0.0003764,              0.0003764
                     85,                0.70394,                0.48303,                 1.1345,                0.87082,                0.72899,                0.78462,                0.53943,                 1.3214,                0.86388,                 2.0154,              0.0003566,              0.0003566,              0.0003566
                     86,                0.69507,                0.47568,                 1.1286,                0.87445,                0.70628,                0.77059,                0.53829,                  1.332,                0.84823,                  2.035,              0.0003368,              0.0003368,              0.0003368
                     87,                0.69658,                0.47207,                 1.1265,                0.88035,                0.73031,                0.77852,                0.54584,                 1.2876,                0.82109,                 1.9797,               0.000317,               0.000317,               0.000317
